batch_name,instrument_name,batch_passed,reviewer_name,batch_collected_ts,review_start_ts,review_complete_ts,calibration_slope_morphine,calibration_slope_hydromorphone,calibration_slope_oxymorphone,calibration_slope_codeine,calibration_slope_hydrocodone,calibration_slope_oxycodone,calibration_intercept_morphine,calibration_intercept_hydromorphone,calibration_intercept_oxymorphone,calibration_intercept_codeine,calibration_intercept_hydrocodone,calibration_intercept_oxycodone,calibration_R2_morphine,calibration_R2_hydromorphone,calibration_R2_oxymorphone,calibration_R2_codeine,calibration_R2_hydrocodone,calibration_R2_oxycodone
b442066,happy,TRUE,Elizabeth,2017-09-09T22:36:23Z,2017-09-10T12:16:20Z,2017-09-10T12:41:05Z,0.006809185,0.006632945,0.007172988,0.006650576,0.006650996,0.006806449,-4.98504e-5,4.79681e-5,2.78094e-5,-2.75836e-5,9.82995e-6,2.1349e-5,0.990933084,0.980790794,0.988988419,0.986819314,0.98773374,0.993389218
b194250,bashful,TRUE,Frank,2017-09-09T22:17:36Z,2017-09-10T09:53:29Z,2017-09-10T10:27:16Z,0.006724841,0.006648034,0.006932204,0.007235206,0.007163455,0.007455889,-3.79996e-6,-2.54502e-5,1.94984e-5,-4.19549e-5,3.25633e-5,3.50262e-5,0.993889797,0.983178994,0.982128352,0.992684185,0.991381257,0.980074722
b605358,happy,TRUE,Frank,2017-09-10T01:07:49Z,2017-09-10T10:06:17Z,2017-09-10T10:43:08Z,0.007232942,0.007305675,0.007786098,0.0068851,0.007044912,0.006946949,-1.88848e-6,1.98515e-5,-1.78884e-5,-2.65212e-5,-2.12558e-5,-7.2879e-6,0.997673194,0.997141113,0.997993453,0.984903701,0.996297711,0.98913596
b355658,sleepy,TRUE,Frank,2017-09-10T01:48:23Z,2017-09-10T09:02:06Z,2017-09-10T09:31:37Z,0.006071059,0.007188748,0.001449775,0.007585715,0.007400005,0.006868333,5.2484e-5,2.15299e-5,-2.76831e-6,1.46567e-5,2.29949e-6,-5.5421e-5,0.984011049,0.995481759,0.994949235,0.989858715,0.993143583,0.986518735
b786108,sleepy,TRUE,Elizabeth,2017-09-10T01:06:32Z,2017-09-10T09:32:12Z,2017-09-10T09:49:09Z,0.007267401,0.007295645,0.001385502,0.006986391,0.00692106,0.007140449,2.81055e-5,-4.93495e-5,5.14921e-6,6.5322e-5,3.84283e-6,-1.66696e-5,0.994190708,0.981962883,0.989903399,0.985108848,0.994531611,0.995001639
b861856,grumpy,TRUE,Alice,2017-09-09T20:58:19Z,2017-09-10T11:53:36Z,2017-09-10T12:20:23Z,0.006837325,0.006890732,0.006987735,0.006708168,0.006915309,0.007094643,3.58992e-6,-3.2353e-6,3.3126e-5,-1.01864e-5,-2.96899e-5,6.69837e-6,0.984907019,0.995247021,0.995626878,0.990086587,0.990596249,0.998022
b315504,bashful,TRUE,Charles,2017-09-09T23:11:09Z,2017-09-10T10:20:01Z,2017-09-10T10:51:12Z,0.006552739,0.007043389,0.006469889,0.007206939,0.007267913,0.007240323,1.83984e-5,-4.23632e-5,-2.0202e-6,5.18342e-5,-7.48092e-6,-2.45727e-5,0.98593369,0.990270381,0.988883645,0.984282115,0.990138867,0.989496325
b126321,doc,TRUE,Brad,2017-09-09T20:30:28Z,2017-09-10T13:37:30Z,2017-09-10T14:01:18Z,0.007399492,0.007692366,0.007585797,0.007685768,0.007411436,0.007471191,2.63643e-5,-5.87416e-6,-3.21863e-5,-3.34741e-5,-6.12043e-5,6.82673e-5,0.989088206,0.99411414,0.987777213,0.98380563,0.986190915,0.986462945
b320514,dopey,TRUE,Brad,2017-09-09T21:11:30Z,2017-09-10T13:08:31Z,2017-09-10T13:35:41Z,0.00705556,0.006400598,0.007129248,0.007025436,0.007122893,0.007153502,-4.68359e-7,3.15472e-5,-1.89109e-6,-6.28527e-5,-5.41497e-5,3.39507e-5,0.986851704,0.994166833,0.995476187,0.990457168,0.983476228,0.994168079
b419098,grumpy,TRUE,Charles,2017-09-10T00:17:12Z,2017-09-10T11:43:00Z,2017-09-10T12:26:05Z,0.007492388,0.007346915,0.00718529,0.007220625,0.006556268,0.006092516,1.73791e-5,-4.65432e-5,2.17739e-5,-3.11111e-5,-3.78986e-5,-8.40111e-6,0.9912381,0.988434072,0.990994606,0.991079251,0.982844497,0.987442984
b359464,bashful,TRUE,Charles,2017-09-09T21:22:16Z,2017-09-10T09:19:34Z,2017-09-10T09:52:54Z,0.006871999,0.006624585,0.006460538,0.007303314,0.007076812,0.00730087,2.00008e-5,-4.13128e-5,3.93174e-5,1.71992e-5,5.37525e-6,2.03502e-5,0.98195627,0.990942059,0.990753712,0.984729414,0.991669374,0.992950969
b436769,doc,TRUE,Brad,2017-09-09T23:39:28Z,2017-09-10T09:00:09Z,2017-09-10T09:34:14Z,0.008365245,0.00710967,0.008537066,0.009150627,0.008134106,0.007959656,-1.34411e-6,2.1038e-5,9.83213e-6,-1.47157e-5,6.96978e-5,1.70091e-5,0.992667821,0.9971358,0.983285291,0.990921025,0.986507947,0.98024457
b397944,happy,TRUE,Dave,2017-09-09T20:34:25Z,2017-09-10T09:57:18Z,2017-09-10T10:36:24Z,0.006701951,0.007187025,0.006640219,0.006328557,0.006526632,0.006634845,3.271e-6,3.02517e-5,4.18115e-5,1.92186e-5,-6.9219e-6,1.91842e-5,0.995869046,0.988349648,0.994126802,0.99501548,0.994892003,0.995003187
b218264,sneezy,TRUE,Frank,2017-09-09T21:32:34Z,2017-09-10T11:54:41Z,2017-09-10T12:33:27Z,0.007006843,0.007360079,0.007231819,0.00773961,0.006574308,0.00698985,9.09669e-6,3.48932e-5,2.29266e-5,1.30164e-5,-6.37843e-5,5.52165e-5,0.983313783,0.988828925,0.995746632,0.990730483,0.981570476,0.982226471
b824497,bashful,TRUE,Alice,2017-09-09T22:17:39Z,2017-09-10T13:44:56Z,2017-09-10T14:11:02Z,0.007479013,0.00730252,0.00720803,0.007384834,0.006916804,0.006757083,-3.39364e-5,-2.03508e-5,3.3846e-6,5.13759e-5,1.71481e-5,-5.20609e-7,0.990779048,0.992596472,0.994784252,0.986734842,0.993552487,0.995422598
b641293,grumpy,TRUE,Dave,2017-09-10T01:03:25Z,2017-09-10T09:20:46Z,2017-09-10T09:37:14Z,0.006716514,0.006001434,0.007099122,0.007178462,0.007313793,0.006918147,-1.22544e-5,6.73235e-5,5.01252e-5,-1.03758e-5,3.21718e-5,-2.48681e-5,0.987551904,0.984155848,0.980173605,0.993293622,0.994455476,0.987384232
b894472,dopey,TRUE,Brad,2017-09-10T00:10:09Z,2017-09-10T13:14:50Z,2017-09-10T13:37:43Z,0.007198726,0.006690698,0.006257575,0.007632465,0.006819985,0.007148598,6.001e-6,-5.16965e-5,5.75416e-5,7.9174e-6,-1.5788e-5,-2.53306e-5,0.991833196,0.987023477,0.987776798,0.997367228,0.993367568,0.993385234
b412380,sleepy,TRUE,Elizabeth,2017-09-10T01:29:27Z,2017-09-10T13:17:34Z,2017-09-10T13:56:02Z,0.00764778,0.007289934,0.00140692,0.006646252,0.006975542,0.006753664,-2.033e-5,1.41752e-5,-6.59627e-6,1.97486e-5,1.68598e-5,1.77804e-5,0.996205925,0.989986383,0.987621355,0.982153824,0.99329851,0.99178442
b229321,doc,TRUE,Frank,2017-09-09T21:50:24Z,2017-09-10T12:31:27Z,2017-09-10T13:06:53Z,0.007898544,0.007556683,0.008220189,0.009473672,0.008279528,0.00668127,6.83043e-6,-5.45536e-5,2.78825e-5,-2.79657e-5,-5.59146e-5,-3.55952e-5,0.989307302,0.986745366,0.991733509,0.986786656,0.9822918,0.994810409
b289401,doc,TRUE,Brad,2017-09-10T23:04:46Z,2017-09-11T11:19:59Z,2017-09-11T11:45:15Z,0.008190641,0.007330855,0.009216075,0.009567841,0.007234301,0.008248229,-1.89544e-5,3.58231e-5,-5.77818e-6,-6.9615e-6,-2.02217e-5,6.58919e-5,0.992735454,0.983010255,0.988129234,0.99966838,0.990687097,0.980535162
b377548,sneezy,TRUE,Brad,2017-09-10T22:28:19Z,2017-09-11T12:24:22Z,2017-09-11T12:41:37Z,0.006939444,0.006574939,0.007462783,0.007210673,0.006753094,0.007433502,2.17388e-5,-4.24281e-5,1.43869e-5,2.65534e-5,8.20841e-6,8.10223e-6,0.998099874,0.992178497,0.98674871,0.991978684,0.994357429,0.987536555
b299584,grumpy,TRUE,Charles,2017-09-11T00:55:33Z,2017-09-11T10:24:46Z,2017-09-11T10:44:03Z,0.007113876,0.006532018,0.007023368,0.006919205,0.006723982,0.00650081,-6.82144e-6,-4.03243e-6,2.20665e-5,5.26098e-5,6.58025e-6,5.31723e-6,0.993511897,0.99070969,0.994573697,0.989207985,0.994366266,0.992316526
b551398,happy,TRUE,Dave,2017-09-11T01:48:50Z,2017-09-11T09:00:42Z,2017-09-11T09:23:28Z,0.006895888,0.007407198,0.006849966,0.006849508,0.006769397,0.006917407,-4.61756e-5,-5.30894e-5,3.25729e-5,1.71173e-5,1.05626e-5,2.04754e-5,0.987025109,0.988661612,0.991660415,0.996120117,0.992067532,0.98285262
b616801,bashful,TRUE,Charles,2017-09-10T22:11:10Z,2017-09-11T12:22:06Z,2017-09-11T12:49:12Z,0.007254618,0.007432537,0.006931793,0.007415933,0.007509803,0.007391324,2.2541e-5,-1.74446e-5,3.41252e-6,1.40427e-5,4.8755e-5,4.09889e-5,0.988366557,0.98543523,0.981907989,0.995789521,0.990262152,0.991298988
b837984,sleepy,TRUE,Frank,2017-09-11T01:16:32Z,2017-09-11T13:41:37Z,2017-09-11T14:18:55Z,0.006586559,0.006357502,0.001519634,0.007673572,0.007410076,0.006828031,-3.38964e-6,-1.7987e-5,-1.91017e-6,-9.92701e-6,2.98698e-5,1.62129e-5,0.997287728,0.98136592,0.996517283,0.994668856,0.995538422,0.998866322
b165991,sleepy,TRUE,Elizabeth,2017-09-11T01:40:36Z,2017-09-11T12:24:42Z,2017-09-11T12:51:59Z,0.006810381,0.00659724,0.001389147,0.006876304,0.007191331,0.007722095,-4.27382e-5,2.15516e-6,-1.61463e-6,8.94209e-6,2.77452e-6,-3.97296e-5,0.980667654,0.997732674,0.997441974,0.995611712,0.990058478,0.991469399
b240690,doc,TRUE,Charles,2017-09-11T01:50:21Z,2017-09-11T10:07:25Z,2017-09-11T10:44:58Z,0.00777266,0.008180294,0.008976421,0.007362515,0.008583857,0.008388218,-8.68062e-6,8.04533e-5,3.9737e-5,-1.13688e-5,-3.98317e-5,1.25006e-5,0.981778292,0.985510152,0.980183265,0.989509409,0.986018231,0.980084374
b574027,grumpy,TRUE,Elizabeth,2017-09-11T00:24:55Z,2017-09-11T13:02:32Z,2017-09-11T13:20:20Z,0.007506303,0.007512104,0.007293615,0.006678377,0.00758093,0.006866036,-1.06943e-5,1.2946e-6,2.40866e-5,4.89818e-5,-1.67377e-5,2.04414e-5,0.990654751,0.987743948,0.995963762,0.983912607,0.998129246,0.985677633
b215601,happy,TRUE,Brad,2017-09-11T01:27:14Z,2017-09-11T11:53:56Z,2017-09-11T12:26:22Z,0.007163684,0.007045418,0.007209887,0.006727531,0.007123383,0.007002405,2.92052e-5,-2.1365e-5,-2.73401e-5,-4.88884e-5,-1.3872e-5,3.04981e-5,0.995775068,0.986860714,0.981312906,0.987892869,0.99343331,0.990587636
b454983,bashful,TRUE,Dave,2017-09-11T00:32:48Z,2017-09-11T12:31:18Z,2017-09-11T12:50:12Z,0.007503934,0.006899558,0.007006396,0.007153689,0.007282107,0.007436789,3.17368e-5,-3.68604e-6,3.77847e-5,-1.94726e-5,1.4864e-5,3.74775e-5,0.995913263,0.998464558,0.987657243,0.985067728,0.993870542,0.984927639
b291249,doc,TRUE,Dave,2017-09-10T21:24:07Z,2017-09-11T10:38:00Z,2017-09-11T11:21:20Z,0.007204232,0.008755955,0.008159429,0.007549454,0.007968608,0.008588534,3.83297e-5,-3.94827e-5,5.90542e-6,5.28838e-5,-3.37978e-5,3.82411e-5,0.987136837,0.991229248,0.998670841,0.986406369,0.991975792,0.995275876
b573706,doc,TRUE,Elizabeth,2017-09-10T23:10:53Z,2017-09-11T12:25:45Z,2017-09-11T12:59:09Z,0.008840928,0.00826659,0.008212281,0.007559142,0.007923962,0.007111474,3.23748e-5,-5.1563e-5,-2.49434e-5,-8.0605e-6,3.08695e-5,4.66581e-5,0.987097802,0.983767892,0.985331346,0.99709684,0.99299775,0.982210339
b497273,sleepy,TRUE,Brad,2017-09-10T22:40:22Z,2017-09-11T12:50:16Z,2017-09-11T13:17:10Z,0.007122069,0.006272361,0.001468186,0.007151398,0.007336613,0.006427377,2.87822e-5,-2.65489e-5,3.00231e-6,-3.92817e-5,-3.01185e-5,-4.32832e-5,0.98037202,0.9814736,0.986868527,0.984039376,0.995332232,0.985726105
b201787,doc,TRUE,Frank,2017-09-10T21:09:07Z,2017-09-11T12:26:21Z,2017-09-11T12:54:34Z,0.008657178,0.012129592,0.008309107,0.008370902,0.008767796,0.008069859,-7.08583e-5,0,-2.22072e-5,1.07145e-5,-3.47243e-5,-3.73145e-5,0.990752332,1,0.991670059,0.991732578,0.986746978,0.988180111
b509557,sleepy,TRUE,Dave,2017-09-11T00:45:03Z,2017-09-11T12:34:51Z,2017-09-11T13:13:27Z,0.007341868,0.006978886,0.001246563,0.006923096,0.006846849,0.006079313,-5.95844e-7,-5.74771e-5,3.54848e-6,2.7573e-7,-5.2128e-5,-1.26123e-5,0.986556456,0.989685339,0.991065869,0.996283683,0.98567955,0.981343131
b728228,happy,TRUE,Alice,2017-09-11T01:47:23Z,2017-09-11T13:37:08Z,2017-09-11T13:55:05Z,0.006740294,0.007357158,0.006924832,0.007400803,0.007010864,0.006827727,1.75954e-5,2.77973e-5,1.64995e-5,-4.51495e-6,-2.70042e-5,1.28054e-5,0.993723587,0.995068646,0.991860959,0.998813747,0.996608793,0.994102566
b539389,bashful,TRUE,Alice,2017-09-10T23:56:28Z,2017-09-11T10:11:13Z,2017-09-11T10:47:59Z,0.006603261,0.006854636,0.007048198,0.00687108,0.007198194,0.006776231,-1.96472e-5,5.69469e-6,1.72395e-5,-1.86726e-5,5.06328e-7,-4.6401e-5,0.987156588,0.992145419,0.980162377,0.980453213,0.991313358,0.983955996
b111225,doc,TRUE,Alice,2017-09-10T20:23:32Z,2017-09-11T13:49:22Z,2017-09-11T14:12:29Z,0.007481617,0.007867763,0.007525662,0.008347095,0.00743575,0.008757002,-1.15551e-5,-3.4561e-5,3.38787e-5,4.67585e-5,4.32392e-5,-3.47283e-6,0.996917492,0.987751966,0.996023485,0.987066465,0.992755199,0.983393117
b121721,doc,TRUE,Charles,2017-09-10T22:49:12Z,2017-09-11T12:22:31Z,2017-09-11T12:44:19Z,0.00839721,0.006839191,0.007609268,0.007175072,0.008106029,0.007910643,1.55224e-5,8.37211e-6,3.57283e-5,-5.53e-6,3.26221e-7,7.99973e-6,0.988771059,0.996852467,0.985354252,0.993677276,0.98661269,0.987592223
b468284,sleepy,TRUE,Elizabeth,2017-09-11T20:08:48Z,2017-09-12T11:16:31Z,2017-09-12T11:42:17Z,0.006970177,0.006969542,0.001481964,0.006661597,0.0066814,0.007028071,-6.79222e-6,-3.52723e-5,2.33653e-6,3.20091e-5,1.90541e-5,-1.42485e-5,0.987275221,0.992367218,0.987628066,0.982831436,0.998050852,0.983404378
b589341,bashful,TRUE,Dave,2017-09-11T21:05:00Z,2017-09-12T12:56:11Z,2017-09-12T13:15:09Z,0.006974467,0.006937942,0.007442786,0.007403912,0.006463504,0.007156527,-6.54546e-6,3.12426e-5,-6.11783e-6,4.68793e-5,1.55715e-5,-2.19166e-5,0.992595279,0.987068577,0.99105547,0.98616369,0.994623243,0.995699705
b139587,bashful,TRUE,Dave,2017-09-12T01:26:17Z,2017-09-12T13:55:52Z,2017-09-12T14:39:52Z,0.006725719,0.006770612,0.006915327,0.007058938,0.00699009,0.006968887,-3.82217e-6,2.93731e-5,-3.06035e-5,3.61002e-5,-6.32421e-7,1.37275e-6,0.981739945,0.991429951,0.986561096,0.993056663,0.981562294,0.995315104
b105362,doc,TRUE,Brad,2017-09-11T23:35:48Z,2017-09-12T12:26:54Z,2017-09-12T13:03:49Z,0.008137289,0.007747389,0.007034527,0.008578062,0.007131038,0.009503666,3.48463e-5,-2.86924e-5,1.12606e-5,5.08117e-5,-5.8466e-6,-4.17516e-6,0.991190797,0.995693132,0.994351904,0.980474915,0.997928759,0.985525101
b607869,sleepy,TRUE,Dave,2017-09-11T23:10:50Z,2017-09-12T12:09:35Z,2017-09-12T12:45:37Z,0.007039712,0.006918684,0.001366948,0.007594022,0.0064704,0.007238449,3.25354e-5,-6.41601e-5,3.96012e-7,-3.4215e-5,-2.04906e-5,-4.6614e-5,0.993654902,0.987665054,0.993484482,0.992360257,0.994734317,0.986503687
b772675,sleepy,TRUE,Brad,2017-09-12T00:30:13Z,2017-09-12T09:45:12Z,2017-09-12T10:05:05Z,0.007548476,0.007112921,0.001470924,0.006676385,0.00730588,0.007341311,3.86173e-5,1.67367e-5,4.12218e-6,2.43286e-5,-1.71924e-5,3.04088e-5,0.989022602,0.998454409,0.988210688,0.995758584,0.991241802,0.98262805
b807090,sleepy,TRUE,Elizabeth,2017-09-11T20:45:54Z,2017-09-12T12:38:38Z,2017-09-12T12:58:55Z,0.006315074,0.006540502,0.001347946,0.006653334,0.006928937,0.006968623,1.18054e-5,-1.51675e-5,6.29846e-6,1.41909e-5,2.75963e-5,4.94617e-6,0.991419612,0.984090265,0.993001924,0.983208512,0.996255099,0.994418077
b631411,grumpy,TRUE,Elizabeth,2017-09-11T21:33:42Z,2017-09-12T13:19:53Z,2017-09-12T13:50:45Z,0.007222158,0.007614367,0.006943835,0.007437214,0.007313625,0.006971776,-3.57988e-5,-6.17956e-5,-2.66141e-5,3.07859e-5,6.0587e-5,1.36655e-5,0.988202213,0.984351295,0.985744612,0.987852651,0.983931567,0.987161761
b225930,sneezy,TRUE,Brad,2017-09-11T20:24:44Z,2017-09-12T11:53:12Z,2017-09-12T12:11:38Z,0.007842584,0.007359854,0.006674983,0.007122562,0.007013186,0.007599105,-3.02039e-5,6.00987e-5,8.24317e-6,-3.5219e-5,1.924e-5,-1.03078e-5,0.99749511,0.986999138,0.986700362,0.982714342,0.993716332,0.993234584
b715342,doc,TRUE,Alice,2017-09-12T00:14:16Z,2017-09-12T12:03:21Z,2017-09-12T12:37:16Z,0.008038008,0.007979948,0.007597212,0.007931191,0.008650449,0.007521603,-6.1588e-5,-2.51401e-5,-9.94853e-6,7.38743e-6,7.52256e-5,-1.51052e-5,0.986387797,0.981778484,0.983740846,0.981228293,0.98342869,0.996098019
b660192,bashful,TRUE,Dave,2017-09-11T22:42:30Z,2017-09-12T12:27:16Z,2017-09-12T13:04:02Z,0.006605554,0.006812355,0.007673034,0.007518928,0.006699531,0.007206701,1.11117e-5,3.18211e-5,2.45573e-5,1.69277e-5,2.79027e-5,6.21356e-5,0.994768638,0.985585959,0.994365185,0.982698387,0.995308092,0.99110257
b230542,doc,TRUE,Elizabeth,2017-09-11T20:17:25Z,2017-09-12T11:22:17Z,2017-09-12T11:59:32Z,0.007316809,0.008123495,0.007926256,0.007624788,0.008740202,0.007563659,-5.5945e-5,-3.43825e-5,-4.89237e-5,3.84321e-5,1.91997e-5,-5.69255e-7,0.985070236,0.992033472,0.986653826,0.991847749,0.998991812,0.98462679
